iter	Logloss
0	0.6394851338
1	0.5946914115
2	0.5557610099
3	0.5209862174
4	0.4893363134
5	0.4626689099
6	0.4380614432
7	0.4169270866
8	0.3988684834
9	0.3826853886
10	0.3687569942
11	0.3569813397
12	0.3458321972
13	0.336552591
14	0.3284103232
15	0.3215875343
16	0.314377667
17	0.308151598
18	0.3024916719
19	0.297437066
20	0.2929386106
21	0.2892001285
22	0.2859509693
23	0.2826599918
24	0.2798008515
25	0.2772613484
26	0.2749263439
27	0.2730493971
28	0.2715102005
29	0.2700998598
30	0.2684106649
31	0.2672514873
32	0.2660003724
33	0.2648995674
34	0.26371633
35	0.262737647
36	0.2618321514
37	0.2610431909
38	0.2603206354
39	0.2596892818
40	0.2590287083
41	0.2584592064
42	0.2580768318
43	0.2575645695
44	0.2571608147
45	0.2566669434
46	0.2563207076
47	0.2559646077
48	0.2556433333
49	0.255281113
50	0.2550023488
51	0.2547727201
52	0.254424315
53	0.2541889321
54	0.253949991
55	0.2537494956
56	0.2535328678
57	0.2533966887
58	0.2531755877
59	0.2529509217
60	0.2527663024
61	0.2525915211
62	0.2523953795
63	0.2522471199
64	0.2521065833
65	0.2519574528
66	0.2518413356
67	0.2516596593
68	0.2515052869
69	0.2513638016
70	0.2512416516
71	0.2511212789
72	0.250990864
73	0.2508762069
74	0.2507398235
75	0.2506434899
76	0.250546873
77	0.2504695779
78	0.2503438776
79	0.2502499431
80	0.2501853137
81	0.2501128283
82	0.2500322116
83	0.2499427869
84	0.2498683184
85	0.2497604609
86	0.2496645635
87	0.2495526269
88	0.2494739266
89	0.2494251943
90	0.2493458706
91	0.2492800723
92	0.2492131334
93	0.2491796578
94	0.249126527
95	0.2490551515
96	0.2489589604
97	0.2488837206
98	0.2488220727
99	0.248764978
100	0.2487030547
101	0.2486490686
102	0.2485751522
103	0.2485369899
104	0.2484795406
105	0.2484275353
106	0.2483814213
107	0.2483283049
108	0.2482906128
109	0.2482484078
110	0.2482014381
111	0.2481590274
112	0.248124826
113	0.2480830634
114	0.2480621918
115	0.248017167
116	0.2479620748
117	0.247915163
118	0.2478839803
119	0.24785796
120	0.247820577
121	0.2477456561
122	0.2476970367
123	0.2476438084
124	0.2475737188
125	0.2475217081
126	0.2474985055
127	0.247480276
128	0.2474614678
129	0.2474340031
130	0.2473945203
131	0.2473628851
132	0.2473276626
133	0.2472916203
134	0.2472359459
135	0.2471993435
136	0.2471687684
137	0.247116227
138	0.2471015235
139	0.2470809931
140	0.2470285424
141	0.2470050641
142	0.2469528603
143	0.2469133242
144	0.2468603392
145	0.2468283274
146	0.2467840939
147	0.2467561977
148	0.2467060535
149	0.246685321
150	0.2466593353
151	0.2466202024
152	0.2465952778
153	0.2465424344
154	0.2465123081
155	0.246478868
156	0.2464508525
157	0.2464264825
158	0.2463979994
159	0.2463462031
160	0.2462946614
161	0.246271999
162	0.2462361924
163	0.2462197537
164	0.2461970003
165	0.2461674991
166	0.2461541014
167	0.2461314136
168	0.2460962158
169	0.2460620297
170	0.2460351613
171	0.246016699
172	0.2459908941
173	0.2459632933
174	0.2459129724
175	0.2458940704
176	0.2458713932
177	0.2458574747
178	0.2458315848
179	0.2457962079
180	0.2457929859
181	0.2457679
182	0.2457512023
183	0.2457279787
184	0.2457150396
185	0.2456960701
186	0.2456937274
187	0.2456644254
188	0.2456359604
189	0.2456195586
190	0.2455863298
191	0.24557993
192	0.2455651927
193	0.2455393101
194	0.2455121422
195	0.2454964344
196	0.2454726959
197	0.2454515562
198	0.2454372528
199	0.2454219909
200	0.2454066853
201	0.2453827567
202	0.2453615185
203	0.2453421949
204	0.2453090168
205	0.2452939832
206	0.2452680792
207	0.2452433467
208	0.2452163835
209	0.2451933152
210	0.245182414
211	0.2451641856
212	0.2451348017
213	0.2451060784
214	0.2450778246
215	0.2450364548
216	0.2450095398
217	0.2449889167
218	0.244953996
219	0.244927709
220	0.2449092784
221	0.2448970285
222	0.2448697225
223	0.2448526701
224	0.2448355325
225	0.2448011533
226	0.2447635776
227	0.244731974
228	0.2447180248
229	0.2447000712
230	0.2446799212
231	0.2446610898
232	0.244646291
233	0.2446307255
234	0.2446131479
235	0.2445779064
236	0.2445553916
237	0.2445418279
238	0.2445194852
239	0.2444918238
240	0.2444624191
241	0.2444386325
242	0.2444194931
243	0.2444057475
244	0.2443755012
245	0.2443565224
246	0.2443286151
247	0.2443126187
248	0.244267468
249	0.2442339262
250	0.244217193
251	0.2441902107
252	0.2441467846
253	0.2441304203
254	0.2441158085
255	0.2440947324
256	0.2440788975
257	0.2440410695
258	0.2439969495
259	0.2439745399
260	0.2439480446
261	0.2439300852
262	0.2439114101
263	0.2438824367
264	0.2438648265
265	0.2438336328
266	0.2438034406
267	0.2437808408
268	0.2437577213
269	0.2437398549
270	0.2437116537
271	0.2437040947
272	0.2436902977
273	0.2436666007
274	0.2436425539
275	0.2436258322
276	0.2436097713
277	0.2435991817
278	0.2435626785
279	0.2435340742
280	0.2435124224
281	0.2434906446
282	0.2434601013
283	0.2434393328
284	0.2434281655
285	0.2434074739
286	0.2434012798
287	0.2433662954
288	0.2433547398
289	0.2433349399
290	0.2433104711
291	0.2432779359
292	0.2432674513
293	0.2432496114
294	0.2432187736
295	0.2432088299
296	0.2431878536
297	0.2431566989
298	0.2431261193
299	0.2431159732
300	0.2430763738
301	0.243059694
302	0.2430257184
303	0.2430030899
304	0.2429862762
305	0.2429681136
306	0.242944746
307	0.2429099344
308	0.2428803128
309	0.2428695538
310	0.2428340921
311	0.2428171314
312	0.2428018414
313	0.2427868596
314	0.2427590473
315	0.2427310346
316	0.2427008072
317	0.2426824998
318	0.2426635208
319	0.2426461445
320	0.2426198535
321	0.2425884958
322	0.2425646326
323	0.2425367186
324	0.2425025541
325	0.2424772086
326	0.2424634442
327	0.2424425006
328	0.2424117748
329	0.2423833931
330	0.242376134
331	0.242355691
332	0.2423438583
333	0.2423176614
334	0.242309814
335	0.2422865549
336	0.2422790239
337	0.242260435
338	0.2422337235
339	0.2421992144
340	0.2421781842
341	0.2421515737
342	0.2421319236
343	0.2421032376
344	0.2421004107
345	0.2420973987
346	0.242078722
347	0.2420672119
348	0.2420424381
349	0.2420230193
350	0.2420024823
351	0.2419850877
352	0.2419601221
353	0.2419583564
354	0.2419446681
355	0.2419270584
356	0.2418935493
357	0.2418740846
358	0.2418540305
359	0.2418470118
360	0.241811104
361	0.2417890445
362	0.2417703394
363	0.241751515
364	0.2417284264
365	0.2417104578
366	0.2416895097
367	0.2416731631
368	0.2416587128
369	0.2416479018
370	0.2416284362
371	0.2416057605
372	0.2415862657
373	0.241575966
374	0.2415609955
375	0.2415381462
376	0.2415211388
377	0.2415017206
378	0.2414908183
379	0.2414868299
380	0.2414670187
381	0.2414454865
382	0.2414262631
383	0.2413970524
384	0.2413706274
385	0.2413566083
